horizon,regime,algo,fold,n_train,n_fit,n_val,n_test,best_thr,val_score,RAW_F1_4cls,RAW_Acc_dir,RAW_F1_dir,RAW_F1_UP_FORT,RAW_F1_DOWN_FORT,CAL_F1_4cls,CAL_Acc_dir,CAL_F1_dir,CAL_F1_UP_FORT,CAL_F1_DOWN_FORT
1,GLOBAL,RandomForest,0,2542,2034,508,758,0.3,0.468,0.3095,0.566,0.5557,0.28,0.5583,0.2162,0.5818,0.5129,0.3551,0.7019
1,GLOBAL,XGBoost,0,2542,2034,508,758,0.3,0.5021,0.317,0.5528,0.549,0.3359,0.5131,0.2023,0.5792,0.5292,0.3605,0.69
1,GLOBAL,RandomForest,1,3300,2640,660,771,0.4,0.5756,0.3111,0.5577,0.5524,0.3061,0.6516,0.2352,0.5603,0.5198,0.3951,0.7289
1,GLOBAL,XGBoost,1,3300,2640,660,771,0.35,0.6014,0.3215,0.5681,0.5632,0.3709,0.5822,0.2316,0.5629,0.5389,0.4393,0.7174
1,GLOBAL,RandomForest,2,4071,3257,814,767,0.3,0.6377,0.3201,0.588,0.5821,0.2709,0.6624,0.2161,0.5724,0.5521,0.4492,0.6805
1,GLOBAL,XGBoost,2,4071,3257,814,767,0.35,0.6147,0.3296,0.605,0.5987,0.3166,0.6266,0.2141,0.5919,0.5698,0.454,0.704
1,GLOBAL,RandomForest,3,4838,3871,967,779,0.35,0.5737,0.2958,0.5815,0.5788,0.3493,0.5903,0.2563,0.5866,0.5667,0.4358,0.6595
1,GLOBAL,XGBoost,3,4838,3871,967,779,0.3,0.5804,0.3002,0.5623,0.5598,0.4317,0.5576,0.245,0.5931,0.5737,0.449,0.6237
1,GLOBAL,RandomForest,4,5617,4494,1123,763,0.35,0.5119,0.3198,0.6042,0.5857,0.2259,0.6402,0.247,0.6147,0.5491,0.31,0.6667
1,GLOBAL,XGBoost,4,5617,4494,1123,763,0.3,0.5602,0.3248,0.5885,0.573,0.3008,0.61,0.2102,0.6147,0.5743,0.3828,0.6447
1,CALM,RandomForest,0,828,663,165,324,0.35,0.6568,0.274,0.5463,0.5456,0.2833,0.4604,0.1908,0.5401,0.5398,0.4809,0.4938
1,CALM,XGBoost,0,828,663,165,324,0.3,0.6804,0.2833,0.5648,0.5603,0.3688,0.368,0.1658,0.5123,0.5119,0.4862,0.478
1,CALM,RandomForest,1,1072,858,214,573,0.3,0.5294,0.2711,0.4764,0.476,0.2922,0.4901,0.1906,0.5096,0.5083,0.461,0.6215
1,CALM,XGBoost,1,1072,858,214,573,0.35,0.5,0.2792,0.4939,0.4939,0.395,0.4646,0.2148,0.5218,0.5216,0.519,0.5753
1,CALM,RandomForest,2,1322,1058,264,509,0.35,0.6327,0.3103,0.5796,0.5657,0.3195,0.6341,0.2245,0.5599,0.5593,0.4841,0.5942
1,CALM,XGBoost,2,1322,1058,264,509,0.35,0.6457,0.2671,0.5422,0.5391,0.324,0.5214,0.2121,0.5481,0.5481,0.5019,0.5502
1,CALM,RandomForest,4,1817,1454,363,264,0.3,0.5985,0.2935,0.5758,0.5742,0.2766,0.4396,0.1956,0.5833,0.5793,0.4575,0.5664
1,CALM,XGBoost,4,1817,1454,363,264,0.3,0.6186,0.2941,0.5682,0.5681,0.2526,0.4,0.2296,0.5758,0.5658,0.4901,0.5098
1,NORMAL,RandomForest,0,868,695,173,319,0.4,0.4588,0.2995,0.5455,0.5288,0.3704,0.5464,0.2096,0.5799,0.4779,0.2772,0.6588
1,NORMAL,XGBoost,0,868,695,173,319,0.3,0.5326,0.254,0.5455,0.5366,0.3063,0.5165,0.2366,0.605,0.5306,0.4107,0.648
1,NORMAL,RandomForest,1,1123,899,224,155,0.45,0.5895,0.2384,0.5419,0.4246,0.1509,0.8143,0.1622,0.5484,0.4103,0.0784,0.8108
1,NORMAL,XGBoost,1,1123,899,224,155,0.3,0.5746,0.2264,0.4968,0.4301,0.2807,0.6942,0.1606,0.5161,0.409,0.1111,0.7801
1,NORMAL,RandomForest,2,1390,1112,278,213,0.35,0.5383,0.3024,0.5822,0.5174,0.2899,0.6708,0.202,0.5962,0.5011,0.2817,0.7312
1,NORMAL,XGBoost,2,1390,1112,278,213,0.5,0.5327,0.2748,0.5164,0.4906,0.5128,0.6081,0.2207,0.5915,0.5452,0.3704,0.7159
1,NORMAL,RandomForest,3,1656,1325,331,267,0.3,0.5383,0.2754,0.5655,0.5633,0.2353,0.569,0.1839,0.5506,0.5222,0.314,0.5
1,NORMAL,XGBoost,3,1656,1325,331,267,0.35,0.5638,0.2872,0.5655,0.5604,0.3119,0.5263,0.1837,0.5805,0.5486,0.3443,0.48
1,NORMAL,RandomForest,4,1926,1541,385,416,0.3,0.5877,0.2821,0.5817,0.5192,0.2969,0.5961,0.2593,0.5577,0.536,0.4588,0.5668
1,NORMAL,XGBoost,4,1926,1541,385,416,0.3,0.6118,0.277,0.5553,0.5262,0.3972,0.547,0.2585,0.5577,0.5114,0.4474,0.5938
1,STRESS,RandomForest,0,846,677,169,115,0.35,0.4698,0.2915,0.6,0.5833,0.1875,0.5507,0.2475,0.6087,0.5081,0.069,0.6813
1,STRESS,XGBoost,0,846,677,169,115,0.3,0.475,0.296,0.6174,0.6042,0.3333,0.5143,0.2144,0.6348,0.5538,0.2778,0.7184
1,STRESS,RandomForest,1,1105,884,221,43,0.35,0.5251,0.2344,0.5581,0.5494,0.5263,0.3448,0.225,0.6047,0.4645,0.2857,0.8511
1,STRESS,XGBoost,1,1105,884,221,43,0.3,0.498,0.1961,0.4186,0.3978,0.4,0.3448,0.1581,0.4651,0.3515,0.1538,0.7143
1,STRESS,RandomForest,2,1359,1088,271,45,0.3,0.5435,0.2518,0.5778,0.4452,0.25,0.7907,0.1881,0.6,0.4214,0.1333,0.8511
1,STRESS,XGBoost,2,1359,1088,271,45,0.4,0.5182,0.3697,0.6222,0.5676,0.4211,0.75,0.2021,0.6222,0.472,0.25,0.7556
1,STRESS,RandomForest,3,1615,1292,323,512,0.35,0.5323,0.2588,0.5957,0.5287,0.1739,0.5103,0.2299,0.5996,0.51,0.3396,0.5722
1,STRESS,XGBoost,3,1615,1292,323,512,0.5,0.5389,0.2708,0.6035,0.5563,0.2581,0.4982,0.2026,0.5762,0.5077,0.2516,0.5944
1,STRESS,RandomForest,4,1874,1500,374,83,0.3,0.363,0.2557,0.5422,0.5109,0.4444,0.6349,0.2349,0.6627,0.3986,0.0,0.7952
1,STRESS,XGBoost,4,1874,1500,374,83,0.35,0.3962,0.2418,0.506,0.4916,0.3846,0.5902,0.1925,0.6265,0.3852,0.0,0.75
2,GLOBAL,RandomForest,0,2650,2120,530,794,0.35,0.4992,0.3082,0.5743,0.5731,0.25,0.6023,0.2569,0.5743,0.5572,0.3932,0.657
2,GLOBAL,XGBoost,0,2650,2120,530,794,0.3,0.5341,0.3371,0.5844,0.5844,0.3617,0.5707,0.2333,0.5693,0.5618,0.5156,0.6531
2,GLOBAL,RandomForest,1,3444,2756,688,806,0.3,0.5999,0.3038,0.5633,0.5632,0.3537,0.6113,0.2314,0.5806,0.5781,0.5372,0.7082
2,GLOBAL,XGBoost,1,3444,2756,688,806,0.35,0.6106,0.295,0.5546,0.5543,0.4136,0.5839,0.226,0.5695,0.5694,0.565,0.6409
2,GLOBAL,RandomForest,2,4250,3400,850,802,0.3,0.6455,0.2922,0.586,0.5855,0.2082,0.6749,0.2255,0.5711,0.568,0.4964,0.7162
2,GLOBAL,XGBoost,2,4250,3400,850,802,0.3,0.6361,0.3094,0.5885,0.5867,0.2409,0.6789,0.2303,0.5923,0.5905,0.529,0.7061
2,GLOBAL,RandomForest,3,5052,4042,1010,807,0.35,0.5918,0.3081,0.5675,0.5657,0.3882,0.5163,0.227,0.5651,0.5556,0.5497,0.5593
2,GLOBAL,XGBoost,3,5052,4042,1010,807,0.3,0.6124,0.3368,0.57,0.5675,0.4101,0.536,0.1986,0.5799,0.5762,0.5415,0.5543
2,GLOBAL,RandomForest,4,5859,4688,1171,801,0.3,0.5085,0.2699,0.5693,0.5638,0.1579,0.6942,0.1904,0.5793,0.5495,0.3119,0.7044
2,GLOBAL,XGBoost,4,5859,4688,1171,801,0.3,0.5445,0.3009,0.593,0.5856,0.2222,0.6998,0.1979,0.5855,0.5546,0.3486,0.7004
2,CALM,RandomForest,0,866,693,173,341,0.4,0.6623,0.2864,0.5191,0.5187,0.2256,0.5401,0.2089,0.5367,0.5284,0.5217,0.5479
2,CALM,XGBoost,0,866,693,173,341,0.3,0.6388,0.292,0.5484,0.5484,0.3087,0.4516,0.1905,0.5103,0.4861,0.618,0.4961
2,CALM,RandomForest,1,1122,898,224,599,0.3,0.5793,0.2919,0.5659,0.5637,0.3176,0.5956,0.2253,0.5643,0.5643,0.5488,0.6866
2,CALM,XGBoost,1,1122,898,224,599,0.3,0.5668,0.2875,0.5643,0.564,0.3621,0.5232,0.1992,0.5359,0.5322,0.5072,0.5818
2,CALM,RandomForest,2,1386,1109,277,537,0.45,0.6618,0.331,0.6034,0.6033,0.3654,0.6115,0.2631,0.5922,0.5798,0.614,0.5725
2,CALM,XGBoost,2,1386,1109,277,537,0.3,0.6559,0.3262,0.5978,0.5978,0.4435,0.5379,0.2128,0.568,0.5432,0.6292,0.5105
2,CALM,RandomForest,4,1907,1526,381,287,0.35,0.6398,0.2554,0.5157,0.5128,0.2041,0.5763,0.231,0.5226,0.5224,0.4412,0.5891
